sku,nombre,marca,categoria,subcategoria,precio_oferta,precio_lista,precio_mayoreo,costo_usd,proveedor,clave_proveedor,stock,estado_comercial,imagen
A-CPUINT4570,"Procesador Intel® Core™ i9-14900F (14.ª generación), sin procesador gráfico. Con Intel® Thermal Velocity Boost, Intel® T",VECTEC,procesadores,Intel Core i9,17208.26,22944.35,15487.43,534.8333333333334,CT Internacional,A,15,disponible,assets/img/CPUINT4570.webp
A-CPUINT4560,"Procesador Intel® Core™ i9-14900 (14.ª generación). Con Intel® Thermal Velocity Boost, Intel® Turbo Boost Max Technology",VECTEC,procesadores,Intel Core i9,18035.87,24047.83,16232.28,560.5555555555555,CT Internacional,A,15,disponible,assets/img/CPUINT4560.webp
A-CPUINT5080,"Procesador Intel i7-14700 CM8071504820817 VERSION TRAY - SIN DISIPADOR, SIN CAJA, 20 núcleos, 28 subprocesos, 2.1 GHz b",VECTEC,enfriamiento,Intel Core i7,10903.75,14538.33,9813.38,338.88888888888886,CT Internacional,A,15,disponible,assets/img/CPUINT5080.webp
A-CPUINT4490,"Procesador Intel® Core™ i5-14600K (14.a generación), LGA1700, 24 MB caché, 20 hilos. Con compatibilidad con PCIe 5.0 y 4",VECTEC,ssds_m2_nvme,Intel Core i5,8222.5,10963.33,7400.25,255.55555555555554,CT Internacional,A,15,disponible,assets/img/CPUINT4490.webp
A-CPUINT4420,"Procesador Intel® Core™ i5-14600KF (14.a generación), LGA1700 sin gráficos de procesador. 24 MB caché, 20 hilos. Con com",VECTEC,procesadores,Intel Core i5,7814.95,10419.93,7033.45,242.88888888888889,CT Internacional,A,15,disponible,assets/img/CPUINT4420.webp
A-CPUINT4520,"Procesador Intel® Core™ i5-14400 (14.ª generación). Con compatibilidad con PCIe 5.0 y 4.0, compatibilidad con DDR5 y DDR",VECTEC,memorias_ram_pc,Intel Core i5,6399.25,8532.33,5759.32,198.88888888888889,CT Internacional,A,15,disponible,assets/img/CPUINT4520.webp
A-CPUINT4530,"Procesador Intel® Core™ i5-14400F (14.ª generación), sin procesador gráfico. Con compatibilidad con PCIe 5.0 y 4.0, comp",VECTEC,ssds_m2_nvme,Intel Core i5,5598.45,7464.6,5038.6,174.0,CT Internacional,A,15,disponible,assets/img/CPUINT4530.webp
A-CPUINT5070,"Procesador Intel i5-14400F CM8071505093011, VERSION TRAY - SIN DISIPADOR, SIN CAJA, SIN GRAFICOS 10 núcleos, 16 subproc",VECTEC,enfriamiento,Intel Core i5,5060.41,6747.22,4554.37,157.2777777777778,CT Internacional,A,15,disponible,assets/img/CPUINT5070.webp
A-CPUINT5090,"Procesador Intel i5-14400 CM8071504821112, VERSION TRAY - SIN DISIPADOR, SIN CAJA, 10 núcleos, 16 subprocesos, 2.5 GHz",VECTEC,enfriamiento,Intel Core i5,5652.08,7536.1,5086.87,175.66666666666666,CT Internacional,A,15,disponible,assets/img/CPUINT5090.webp
A-CPUINT4510,"Procesador Intel® Core™ i3-14100 (14.ª generación). Con compatibilidad con PCIe 5.0 y 4.0, DDR5 y DDR4, los procesadores",VECTEC,memorias_ram_pc,Intel Core i3,4397.61,5863.48,3957.85,136.67777777777778,CT Internacional,A,15,disponible,assets/img/CPUINT4510.webp
A-CPUINT5020,"Procesador Intel i9-12900F BX8071512900F, SIN GRAFICOS - INCLUYE DISIPADOR, 16 núcleos, 24 subprocesos, 2.40 GHz base y",VECTEC,enfriamiento,Intel Core i9,11761.75,15682.33,10585.58,365.55555555555554,CT Internacional,A,15,disponible,assets/img/CPUINT5020.webp
A-CPUINT4010,"Intel Core I9-12900K Alder Lake 3.20GHz (5.20GHz Turbo) LGA 1700 30 MB Intel Smart Cache, Gráficos : Intel® UHD Graphics",VECTEC,procesadores,Intel Core i9,11842.18,15789.58,10657.96,368.05555555555554,CT Internacional,A,15,disponible,assets/img/CPUINT4010.webp
A-CPUINT4020,"Intel Core i9-12900KF Alder Lake 3.20GHz (5.20GHz Turbo) LGA 1700 30 MB Intel Smart Cache, 8 Núcleos y 8 subprocesos. CO",VECTEC,procesadores,Intel Core i9,13745.87,18327.83,12371.28,427.22222222222223,CT Internacional,A,15,disponible,assets/img/CPUINT4020.webp
A-CPUINT4210,"Intel Core i9-12900 Alder Lake 2.40GHz (5.10GHz Turbo) LGA 1700 30 MB Intel Smart Cache, 16 Núcleos. COMPATIBLE SOLO CON",VECTEC,procesadores,Intel Core i9,14378.3,19171.06,12940.47,446.87777777777774,CT Internacional,A,15,disponible,assets/img/CPUINT4210.webp
A-CPUINT4160,"Intel Core i7-12700 Alder Lake 2.10GHz (4.90GHz Turbo) LGA 1700 25 MB Intel Smart Cache, 8 Núcleos y 4 subprocesos. COMP",VECTEC,procesadores,Intel Core i7,9786.74,13048.98,8808.07,304.1721111111111,CT Internacional,A,15,disponible,assets/img/CPUINT4160.webp
A-CPUINT3990,"Intel Core I7-12700K Alder Lake 3.60GHz (5.00GHz Turbo) LGA 1700 25 MB Intel Smart Cache, Gráficos : Intel® UHD Graphic",VECTEC,procesadores,Intel Core i7,10760.75,14347.67,9684.68,334.44444444444446,CT Internacional,A,15,disponible,assets/img/CPUINT3990.webp
A-CPUINT4000,"Intel Core I7-12700KF Alder Lake 3.60GHz (5.00GHz Turbo) LGA 1700 25 MB Intel Smart Cache, Gráficos : Intel® UHD Graphic",VECTEC,procesadores,Intel Core i7,9473.75,12631.67,8526.38,294.44444444444446,CT Internacional,A,15,disponible,assets/img/CPUINT4000.webp
A-CPUINT4090,"Intel Core i7-12700F Alder Lake 2.10GHz (4.90GHz Turbo) LGA 1700 25 MB Intel Smart Cache, 8 Núcleos y 4 subprocesos. COM",VECTEC,procesadores,Intel Core i7,9595.3,12793.73,8635.77,298.2222222222222,CT Internacional,A,15,disponible,assets/img/CPUINT4090.webp
A-CPUINT3970,"Intel Core I5-12600K Alder Lake 3.70GHz (4.90GHz Turbo) LGA 1700 20 MB Intel Smart Cache, Gráficos : Intel® UHD Graphics",VECTEC,procesadores,Intel Core i5,6345.62,8460.83,5711.06,197.22222222222223,CT Internacional,A,15,disponible,assets/img/CPUINT3970.webp
A-CPUINT3980,"Intel Core i5-12600KF Alder Lake 3.70GHz (4.90GHz Turbo) LGA 1700 20 MB Intel Smart Cache, 10 Núcleos. COMPATIBLE SOLO C",VECTEC,procesadores,Intel Core i5,5446.52,7262.02,4901.87,169.27777777777777,CT Internacional,A,15,disponible,assets/img/CPUINT3980.webp
A-CPUINT4070,"Intel Core i5-12400 Alder Lake 2.50GHz (4.40GHz Turbo) LGA 1700 18 MB Intel Smart Cache, 6 Núcleos. COMPATIBLE SOLO CON",VECTEC,procesadores,Intel Core i5,5282.06,7042.75,4753.85,164.16666666666666,CT Internacional,A,15,disponible,assets/img/CPUINT4070.webp
A-CPUINT4910,"Procesador Intel® Core™ i5-12400 VERSION TRAY - SIN DISIPADOR LGA 1700, 18MB caché, hasta 4.40 Ghz. 6 núcleos, compatibl",VECTEC,enfriamiento,Intel Core i5,5197.34,6929.78,4677.61,161.53333333333333,CT Internacional,A,15,disponible,assets/img/CPUINT4910.webp
A-CPUINT4080,"Intel Core i5-12400F Alder Lake 2.50GHz (4.40GHz Turbo) LGA 1700 18 MB Intel Smart Cache, 6 Núcleos. COMPATIBLE SOLO CON",VECTEC,procesadores,Intel Core i5,4754.75,6339.67,4279.28,147.77777777777777,CT Internacional,A,15,disponible,assets/img/CPUINT4080.webp
A-CPUINT4170,"Intel Core i3-12100 Alder Lake 3.20GHz (4.30GHz Turbo) LGA 1700 12 MB Intel Smart Cache, 4 Núcleos y 4 subprocesos. COMP",VECTEC,procesadores,Intel Core i3,3852.06,5136.08,3466.85,119.72222222222221,CT Internacional,A,15,disponible,assets/img/CPUINT4170.webp
A-CPUINT4060,"Procesador Intel BX8071512100F, 4 núcleos, LGA 1700, 64-bit, 3.3 GHz frecuencia base, 4.3 GHz frecuencia Turbo, 12 MB ca",VECTEC,procesadores,Intel Core i3,3016.58,4022.11,2714.92,93.75555555555555,CT Internacional,A,15,disponible,assets/img/CPUINT4060.webp
A-CPUINT4140,"Procesador Intel BX80715G6900, 2 núcleos, LGA 1700, 64-bit, frecuencia base 3.4 GHz, 4MB caché, potencia base 46W, Ancho",VECTEC,procesadores,Intel Core,2071.71,2762.28,1864.54,64.38888888888889,CT Internacional,A,15,disponible,assets/img/CPUINT4140.webp
A-CPUINT4180,"Intel Pentium Gold G7400 Alder Lake 3.70GHz LGA 1700 6 MB Intel Smart Cache. Gráficos UHD Intel 710, 2 Núcleos y 4 subp",VECTEC,fuentes_energia,Intel Core,2981.55,3975.4,2683.4,92.66666666666667,CT Internacional,A,15,disponible,assets/img/CPUINT4180.webp
A-CPUINT5010,"Procesador Intel i5-10400T CM8070104290806, VERSION TRAY - SIN DISIPADOR, SIN CAJA, 6 núcleos, 12 subprocesos, 2.00 Ghz",VECTEC,enfriamiento,Intel Core i5,2651.22,3534.96,2386.1,82.39999999999999,CT Internacional,A,15,disponible,assets/img/CPUINT5010.webp
A-VENINT060,"Disipador Intel BXTSRM1, 3,9 BA (2400 RPM, entrada de 40 °C, 65 W); 4,6 BA (RPM máximas) de potencia, 29 dBA (2400 RPM,",VECTEC,enfriamiento,Enfriamiento Especializado,322.82,430.43,290.54,10.033333333333333,CT Internacional,A,15,disponible,assets/img/VENINT060.webp
A-VENINT070,Disipador Intel BXTS10A LGA 1200. COMPATIBLE con procesador CPUINT5010 CM8070104290806. El Intel BXTS10A es una solución,VECTEC,enfriamiento,Enfriamiento Especializado,210.92,281.23,189.83,6.555555555555555,CT Internacional,A,15,disponible,assets/img/VENINT070.webp
A-CPUAMD2050,Procesador AMD ATHLON 3000G RADEON VEGA Procesadores AMD Athlon Línea de productos Procesadores de escritorio AMD Athlon,VECTEC,procesadores,AMD Ryzen,1036.75,1382.33,933.08,32.22222222222222,CT Internacional,A,15,disponible,assets/img/CPUAMD2050.webp
A-CPUAMD2540,Procesador RYZEN 3 4100 4 CORE 4GHZ RETAIL Plataforma Computadora de escritorio Familia de productos Procesadores AMD Ry,VECTEC,computadoras_ensambladas,AMD Ryzen 3,1855.43,2473.9,1669.89,57.666666666666664,CT Internacional,A,15,disponible,assets/img/CPUAMD2540.webp
A-CPUAMD2000,Procesador AMD RYZEN 3 3200G SPIRE COOLER RADEON Procesador en caja Familia de productos Procesadores AMD Ryzen Línea de,VECTEC,accesorios_perifericos,AMD Ryzen 3,2037.75,2717.0,1833.98,63.33333333333333,CT Internacional,A,15,disponible,assets/img/CPUAMD2000.webp
A-CPUAMD2820,"Procesador AMD RYZEN 3 5300G, familia de productos Ryzen, serie Ryzen 5000 Series, arquitectura Zen 3, 4 núcleos de CPU",VECTEC,procesadores,AMD Ryzen 5,2884.66,3846.22,2596.19,89.65555555555555,CT Internacional,A,15,disponible,assets/img/CPUAMD2820.webp
A-CPUAMD2140,"Procesador AMD Ryzen 5 5600X, with Wraith Spire cooler Socket AM4. 6 núcleos de CPU, 12 hilos, Reloj base 3.7GHz, Reloj",VECTEC,accesorios_perifericos,AMD Ryzen 5,3687.61,4916.82,3318.85,114.61111111111111,CT Internacional,A,15,disponible,assets/img/CPUAMD2140.webp
A-CPUAMD2350,Procesador RYZEN AMD 5 4500 BOX Procesadores AMD Ryzen Línea de productos Procesadores de escritorio AMD Ryzen 5 # de n,VECTEC,procesadores,AMD Ryzen 5,3726.94,4969.25,3354.25,115.83333333333333,CT Internacional,A,15,disponible,assets/img/CPUAMD2350.webp
A-CPUAMD2270,"Procesador AMD RYZEN 5 5600G RADEON VEGA núcleos de CPU 6 hilos 12 núcleos de GPU 7, Reloj base 3.9GHz, Reloj de aumento",VECTEC,procesadores,AMD Ryzen 5,3789.5,5052.67,3410.55,117.77777777777777,CT Internacional,A,15,disponible,assets/img/CPUAMD2270.webp
A-CPUAMD2680,"AMD RYZEN 5 8500G, familia de producto Ryzen, línea de producto Ryzen 8000, reloj base de 3,5 GHz máximo hasta 5GHz, TDP",VECTEC,procesadores,AMD Ryzen 5,4061.2,5414.93,3655.08,126.22222222222221,CT Internacional,A,15,disponible,assets/img/CPUAMD2680.webp
A-CPUAMD2660,"AMD RYZEN 7 5700, familia de productos AMD Ryzen™, línea de productos AMD Ryzen™ 7, cuenta con 8 núcleos, 16 hilos, relo",VECTEC,procesadores,AMD Ryzen 7,4168.45,5557.93,3751.61,129.55555555555554,CT Internacional,A,15,disponible,assets/img/CPUAMD2660.webp
A-CPUAMD2570,Procesador AMD RYZEN 5 5600GT AM4 Procesadores AMD Ryzen Línea de productos Procesadores de escritorio AMD Ryzen™ 5 5000,VECTEC,procesadores,AMD Ryzen 5,4407.98,5877.3,3967.18,137.0,CT Internacional,A,15,disponible,assets/img/CPUAMD2570.webp
A-CPUAMD2800,"Procesador AMD RYZEN 5 8400F, familia de productos Ryzen, Serie Ryzen 8000 Series, arquitectura Zen 4, 6 núcleos de CPU",VECTEC,procesadores,AMD Ryzen 5,4469.11,5958.81,4022.2,138.9,CT Internacional,A,15,disponible,assets/img/CPUAMD2800.webp
A-CPUAMD2520,Procesador RYZEN 5 5500 6 CORE 4.2GHZ RETAIL Plataforma Computadora de escritorio Familia de productos Procesadores AMD,VECTEC,computadoras_ensambladas,AMD Ryzen 5,3387.32,4516.42,3048.59,105.27777777777777,CT Internacional,A,15,disponible,assets/img/CPUAMD2520.webp
A-CPUAMD2670,"AMD RYZEN 5 8600G, familia de productos Ryzen, línea de productos Serie Ryzen 8000, cuenta con 6 núcleos, 12 hilos, relo",VECTEC,procesadores,AMD Ryzen 5,5079.0,6772.0,4571.1,157.85555555555555,CT Internacional,A,15,disponible,assets/img/CPUAMD2670.webp
A-CPUAMD2890,"AMD Ryzen 5 5500X3D, familia Ryzen, serie Ryzen 5000 series, 6 núcleos, 12 hilos, arquitectura Zen 3, reloj base 3 GHz,",VECTEC,procesadores,AMD Ryzen 5,5164.09,6885.45,4647.68,160.49999999999997,CT Internacional,A,15,disponible,assets/img/CPUAMD2890.webp
A-CPUAMD2930,"Procesador AMD RYZEN 5 5600XT Series 5000 series Zen 3 Socket-AM4, cpu 6 Nucleos reloj base 3.7 GHZ, reloj turbo maximo",VECTEC,accesorios_perifericos,AMD Ryzen 5,5434.0,7245.33,4890.6,168.88888888888889,CT Internacional,A,15,disponible,assets/img/CPUAMD2930.webp
A-CPUAMD2530,Procesador RYZEN 5 7600 6 CORE 65W RETAIL Plataforma Computadora de escritorio Familia de productos Procesadores AMD Ryz,VECTEC,computadoras_ensambladas,AMD Ryzen 5,5514.43,7352.58,4962.99,171.38888888888889,CT Internacional,A,15,disponible,assets/img/CPUAMD2530.webp
A-CPUAMD3010,Procesador AMD RYZEN 5 7600X3D Series 7000 Reloj base 4.1 GHZ Reloj turbo (hasta 4.7GHZ) núcleos 6 socket AM5 solución t,AMD,procesadores,AMD Ryzen Socket AM4 3da Generación,10439.0,13918.67,9395.1,324.44444444444446,CT Internacional,A,15,disponible,assets/img/CPUAMD3010.webp
A-CPUAMD2290,"Procesador AMD RYZEN 7 5700G núcleos de CPU 8, hilos 16, Reloj base 3.8GHz, Reloj de aumento máx. Hasta 4.6GHz,Caché L2",VECTEC,procesadores,AMD Ryzen 7,6115.03,8153.38,5503.53,190.05555555555557,CT Internacional,A,15,disponible,assets/img/CPUAMD2290.webp
A-CPUAMD2370,Procesador RYZEN AMD 5 5600 BOX Línea de productos Procesadores de escritorio AMD Ryzen 5 núcleos de CPU 6 de hilos 12,VECTEC,procesadores,AMD Ryzen 5,5634.56,7512.74,5071.1,175.12222222222223,CT Internacional,A,15,disponible,assets/img/CPUAMD2370.webp
A-CPUAMD2500,Procesador RYZEN 7 5700X 8 CORE 4.6GHZ RETAIL Plataforma Computadora de escritorio Familia de productos Procesadores AMD,VECTEC,computadoras_ensambladas,AMD Ryzen 7,6258.04,8344.05,5632.24,194.5,CT Internacional,A,15,disponible,assets/img/CPUAMD2500.webp
A-CPUAMD2810,"Procesador AMD RYZEN 7 8700F, familia de productos Ryzen, serie Ryzen 8000 Series, arquitectura Zen 4, 8 núcleos de CPU",VECTEC,procesadores,AMD Ryzen 7,6658.44,8877.92,5992.6,206.94444444444443,CT Internacional,A,15,disponible,assets/img/CPUAMD2810.webp
A-CPUAMD2880,"AMD RYZEN 5 9600, familia Ryzen, serie Ryzen 9000 Series, Zen 5, 6 núcleos del CPU y 12 subprocesos, reloj base 3.8 GHz,",VECTEC,procesadores,AMD Ryzen 9,6837.19,9116.25,6153.47,212.5,CT Internacional,A,15,disponible,assets/img/CPUAMD2880.webp
A-CPUAMD2420,Procesador AMD RYZEN 5 7600X 6 CORE RETAIL Especificaciones generales Plataforma Escritorio Familia de productos Procesa,VECTEC,procesadores,AMD Ryzen 5,6560.12,8746.83,5904.11,203.88888888888889,CT Internacional,A,15,disponible,assets/img/CPUAMD2420.webp
A-CPUAMD2730,"AMD RYZEN 5 9600X, familia de procesadores Ryzen, serie Ryzen 9000 Series, arquitectura Zen 5, núcleos del CPU 6, número",VECTEC,procesadores,AMD Ryzen 9,7078.5,9438.0,6370.65,220.0,CT Internacional,A,15,disponible,assets/img/CPUAMD2730.webp
A-CPUAMD2720,"AMD RYZEN 7 5800XT, familia de procesadores Ryzen, serie Ryzen 5000 Series, arquitectura Zen 3, 8 núcleos de CPU, 16 sub",VECTEC,procesadores,AMD Ryzen 7,7164.3,9552.4,6447.87,222.66666666666666,CT Internacional,A,15,disponible,assets/img/CPUAMD2720.webp
A-CPUAMD2650,"AMD RYZEN 7 5700X3D, familia de productos AMD Ryzen™, línea de productos AMD Ryzen™ 7, 8 núcleos de CPU , 16 hilos, relo",VECTEC,procesadores,AMD Ryzen 7,7368.08,9824.1,6631.27,229.0,CT Internacional,A,15,disponible,assets/img/CPUAMD2650.webp
A-CPUAMD3020,Procesador AMD RYZEN 5 5600GE Series 5000 Reloj base 3.4 GHZ Reloj turbo (hasta 4.4GHZ) núcleos 6 socket AM4 solución té,VECTEC,procesadores,AMD Ryzen 5,8342.26,11123.02,7508.03,259.27777777777777,CT Internacional,A,15,disponible,assets/img/CPUAMD3020.webp
A-CPUAMD2510,Procesador RYZEN 7 7700 8 CORE RETAIL Plataforma Computadora de escritorio Familia de productos Procesadores AMD Ryzen L,VECTEC,computadoras_ensambladas,AMD Ryzen 7,9052.61,12070.15,8147.35,281.35555555555555,CT Internacional,A,15,disponible,assets/img/CPUAMD2510.webp
A-CPUAMD2410,Procesador AMD RYZEN 7 7700X 8CORE RETAIL Especificaciones generales Plataforma Computadora de escritorio Familia de pro,VECTEC,computadoras_ensambladas,AMD Ryzen 7,9538.1,12717.47,8584.29,296.44444444444446,CT Internacional,A,15,disponible,assets/img/CPUAMD2410.webp
A-CPUAMD2900,"Procesador AMD Ryzen 7 8700G con AMD Radeon Graphics, Socket AM5, 5.10GHz, 8 Núcleos, 24MB Caché - Incluye Disipador 100",VECTEC,enfriamiento,AMD Ryzen 7,9724.0,12965.33,8751.6,302.22222222222223,CT Internacional,A,15,disponible,assets/img/CPUAMD2900.webp
A-CPUAMD2580,Procesador AMD RYZEN 7 8700G AM5 Línea de productos Procesadores de escritorio AMD Ryzen 7 8000 serie G con gráficos Rad,VECTEC,procesadores,AMD Ryzen 7,10081.5,13442.0,9073.35,313.3333333333333,CT Internacional,A,15,disponible,assets/img/CPUAMD2580.webp
A-CPUAMD2480,Procesador AMD RYZEN 9 7900 12 CORE RETAIL Plataforma Computadora de escritorio Familia de productos Procesadores AMD Ry,VECTEC,computadoras_ensambladas,AMD Ryzen 9,10296.0,13728.0,9266.4,320.0,CT Internacional,A,15,disponible,assets/img/CPUAMD2480.webp
A-CPUAMD2740,"AMD RYZEN 7 9700X, familia de procesadores Ryzen , serie Ryzen 9000 Series, arquitectura Zen 5, núcleos de CPU 8, numero",VECTEC,procesadores,AMD Ryzen 9,10707.13,14276.17,9636.42,332.77777777777777,CT Internacional,A,15,disponible,assets/img/CPUAMD2740.webp
A-CPUAMD2710,"AMD RYZEN 9 5900XT, familia de procesadores Ryzen, serie Ryzen 5000 Series, arquitectura Zen 3, 16 núcleos de CPU, 32 su",VECTEC,procesadores,AMD Ryzen 9,11761.75,15682.33,10585.58,365.55555555555554,CT Internacional,A,15,disponible,assets/img/CPUAMD2710.webp
A-CPUAMD2640,"AMD RYZEN 7 7800X3D 8 CORE RETAIL, familia de productos Ryzen, línea de productos Ryzen 7000 Series, socket AM5, 8 núcle",VECTEC,procesadores,AMD Ryzen 7,12503.56,16671.42,11253.2,388.6111111111111,CT Internacional,A,15,disponible,assets/img/CPUAMD2640.webp
A-CPUAMD2750,"AMD RYZEN 9 9900X, familia de procesadores Ryzen, serie Ryzen 9000 Series, arquitectura Zen 5, 12 núcleos de CPU, 24 sub",VECTEC,procesadores,AMD Ryzen 9,12691.25,16921.67,11422.12,394.44444444444446,CT Internacional,A,15,disponible,assets/img/CPUAMD2750.webp
A-CPUAMD2170,"Procesador AMD Ryzen 9 5950X AMD zen 3core architecture, Socket AM4, 3.4GHz, 16 Núcleos, 8MB Caché -NO Incluye Disipador",VECTEC,enfriamiento,AMD Ryzen 9,13406.25,17875.0,12065.62,416.66666666666663,CT Internacional,A,15,disponible,assets/img/CPUAMD2170.webp
A-CPUAMD2830,"Procesador AMD RYZEN 7 9800X3D, familia Ryzen, serie Ryzen 9000 Series, Zen 5, 8 núcleos del CPU y 16 subprocesos, reloj",VECTEC,procesadores,AMD Ryzen 9,14514.5,19352.67,13063.05,451.1111111111111,CT Internacional,A,15,disponible,assets/img/CPUAMD2830.webp
